Sr. No.,Jun DUNs,May DUNs,legal_nm,dba_nm,alt_bus_nm,bus1_address1,bus1_address2,bus1_city,bus1_state_cd,Action Code,Action Code Details,Final DUNS,Comments,Weblinks,June/May,Location,Company Name on D&B,Address on D&B,Contact Number,DUNS As Per CP,Headquarter DUNS
,1885953,40745846,SPRINGER SBM LLC,SPRINGER SBM LLC,,233 SPRING ST FL 7,,NEW YORK,NY,A,Accepted original DUNS based on input data given,1885953,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"SPRINGER SCIENCE + BUSINESS MEDIA, LLC","233 SPRING ST, NEW YORK, NY",7818716600,-,1885953
,43091602,835174652,PSI,PSI SERVICE LLC,,2950 N HOLLYWOOD WAY,,BURBANK,CA,A,Accepted original DUNS based on input data given,43091602,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"PSI SERVICES, LLC","2950 N HOLLYWOOD WAY STE 200,BURBANK, CA",8188476180,-,43091602
,79197160,96138664,INABATA AMERICA CORP,INABATA AMERICA CORP,,611 ANTON BLVD STE 650,,COSTA MESA,CA,C,After research on the web found better DUNS,103437174,"On hoovers for JUNE DUNS we found company name "" - "" and address matches partially and for MAY DUNS we found company name "" Inabata America Corporation "" and address matches partially. After research on web found better dUNS with company name "" INABATA AMERICA CORPORATION "" and address matches completely.    ",,-,Branch,INABATA AMERICA CORPORATION,"611 Anton Blvd Ste 650 Costa Mesa, CA ",714-242-2200,103437174,-
,35254239,84474209,NEUROSCIENCE & SPINE,NEUROSCIENCE SPINE,,8380RVRWLK PKBL #320,,FORT MYERS,,D,After research on the web found possible DUNS,35254239/084474209,"On hoovers for JUNE DUNS we found company name ""  NEUROSCIENCE & SPINE ASSOCIATION "" and address matches partially/completely and for MAY DUNS we found company name "" NEURO SCIENCE AND SPINE ASSOCIATION "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Branch/Branch,NEUROSCIENCE & SPINE ASSOCIATION,"8380 RIVERWALK PARK BLVD STE 320, FORT MYERS,FL",2394371121,35254239/084474209,-
,160810230,33192744,NICE GROUP USA INC,NICE GROUP USA INC,,12625WETMORERDSTE218,,SAN ANTONIO,,A,Accepted original DUNS based on input data given,160810230,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,"NICE GROUP USA, INC","12625 WETMORE RD STE 218, SAN ANTONIO, TX",2105452900,-,-
,79322700,79227473,L2 INC,L2 INC,,155WOOSTERST 2ND FLR,,NEW YORK,,A,Accepted original DUNS based on input data given,79322700,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,L2,"155 WOOSTER ST FL 2,NEW YORK, NY",8606809060,-,-
,79348810,623321452,FFWD LTD,FFWD LTD,,325 ARLINGTON AVE,,CHARLOTTE,NC,B,After research on the web accept original DUNS,623321452,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Single Location,"Publicis, Inc.","325 Arlington Ave Ste 700 Charlotte, NC",704-344-7900,-,-
,113430693,824764364,AXLE TECH INTERNAT.,AXLE TECHNOLOGY INTERNAT,,1400 ROCHESTER RD,,TROY,MI,A,Accepted original DUNS based on input data given,113430693,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"Axletech International, LLC","1400 Rochester Rd Troy, MI ",248-658-7200,-,113430693
,8833345,802825146,CROWN FENCE COMPANY,CROWN FENCE CO,,12118 BLOOMFIELD AVE,,SANTA FE SPRINGS,CA,D,After research on the web found possible DUNS,008833345/802825146,"On hoovers for JUNE DUNS we found company name ""  Crown Fence Co. "" and address matches partially/completely and for MAY DUNS we found company name "" CROWN FENCE SUPPLY CO. "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location / Single Location,Crown Fence Co.,"12118 Bloomfield Ave Santa Fe Springs, CA",562-864-5177,008833345/802825146,-
,965976017,28172156,EEYE INC,BT SOFTWARE HOLDING,,5090 N 40TH ST,,PHOENIX,AZ,D,After research on the web found possible DUNS,965976017/028172156,"On hoovers for JUNE DUNS we found company name ""  Eeye Inc. "" and address matches partially/completely and for MAY DUNS we found company name "" EEYE ENGINEERING, INC. "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Branch / Single Location,Eeye Inc.,"5090 N 40th St Ste 400 Phoenix, AZ ",-,965976017/028172156,-
,181302803,47638858,TAMME INC,TAMME INC,,2211 S SUSAN ST,,SANTA ANA,CA,A,Accepted original DUNS based on input data given,181302803,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,Tamme-Chapman Inc,"2211 S Susan St Santa Ana, CA",714-545-6777,-,-
,47371111,783933336,HENDERSON ENGINEERS,HENDERSON ENGINEERS,,8325 LENEXA DR,,LENEXA,KS,D,After research on the web found possible DUNS,47371111/47371111,"On hoovers for JUNE DUNS we found company name ""  Henderson Engineers Inc. "" and address matches partially/completely and for MAY DUNS we found company name "" HENDERSON ENGINEERS, INC. "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",http://www.hei-eng.com/Contact/Headquarters,June/May,Single Location/Headquarters,Henderson Engineers Inc.,"8345 Lenexa Dr Ste 300 Overland Park, KS",913-742-5000,47371111/47371111,783933336
,967441010,53150102,INTERMNT EMP SVC,INTERMNT EMP SVC,,450 E 1000 N,,NORTH SALT LAKE,UT,A,Accepted original DUNS based on input data given,967441010,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"INTERMOUNTAIN EMPLOYMENT SERVICE, INC.","450 E 1000 N, NORTH SALT LAKE, UT",8012960491,-,-
,71029586,17180381,WALKER PARKING,WALKER PARKING,,2121 HUDSON AVE,,KALAMAZOO,MI,A,Accepted original DUNS based on input data given,71029586,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Branch,"WALKER PARKING CONSULTANTS/ENGINEERS, INC.","2121 HUDSON AVE STE 201, KALAMAZOO, MI",2693816080,-,17180381
,79712049,136399016,TWO RIVERS MARKETING,TWO RIVERS MARKETING,,106 E 6TH ST,,DES MOINES,IA,B,After research on the web accept original DUNS,136399016,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Single Location,TWO RIVERS MARKETING CORP.,"106 E 6TH ST, DES MOINES, IA",5152432509,-,-
,63352051,3213589,CAN FER CONSTRUCTION,CANFER UTILITY SERVICE,,3340 ROY ORR BLVD,,GRAND PRAIRIE,TX,D,After research on the web found possible DUNS,"063352051, 003213589","On hoovers for JUNE DUNS we found company name ""  CAN-FER CONSTRUCTION COMPANY "" and address matches partially/completely and for MAY DUNS we found company name "" CAN-FER CONSTRUCTION COMPANY "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location / Single Location,CAN-FER CONSTRUCTION COMPANY,"3340 ROY ORR BLVD STE 100, GRAND PRAIRIE, TX",9724844344,"063352051, 003213589",-
,148962363,150710304,FOUNDERS BUS SERVICES,FOUNDERS BUS SERVICE,,3401 QUEBEC ST # 8000,,DENVER,CO,A,Accepted original DUNS based on input data given,148962363,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"FOUNDERS BUSINESS SERVICES, L.L.C."," 3401 QUEBEC ST STE 8000, DENVER, CO",3037565200,-,148962363
,786667209,1283167,FORBES INC.,FORBES INC,,499 WASHINGTON BLVD,,JERSEY CITY,NJ,A,Accepted original DUNS based on input data given,786667209,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"FORBES MEDIA LLC,","499 WASHINGTON BLVD, JERSEY CITY, NJ",2126202200,-,-
,10687866,9012030,CUTTER AVIATION INC,CUTTER HOLDING CO,,2802 E OLD TOWER RD,,PHOENIX,AZ,D,After research on the web found possible DUNS,"010687866, 009012030","On hoovers for JUNE DUNS we found company name ""  CUTTER AVIATION "" and address matches partially/completely and for MAY DUNS we found company name "" CUTTER AVIATION PHOENIX, INC "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Headquarters / Headquarters,CUTTER AVIATION," 2802 E OLD TOWER RD, PHOENIX, AZ",6022731237,"010687866, 009012030",10687866 / 009012030
,111445495,833285187,CALL TOWER INC.,CALL TOWER INC,,10701 S RIVER FRONT PKWY,,SOUTH JORDAN,UT,A,Accepted original DUNS based on input data given,111445495,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters," CALLTOWER, INC."," 10701 S RIVER FRONT PKWY STE 450,  SOUTH JORDAN, UT",4158698900,-,111445495
,942692310,102572419,ROYAL SEAL CONSTRUCT,ROYAL SEAL CONSTRUCT,,124 MCMAKIN RD,,BARTONVILLE,TX,D,After research on the web found possible DUNS,"942692310, 102572419","On hoovers for JUNE DUNS we found company name ""   ROYAL SEAL INVESTMENTS INC "" and address matches partially/completely and for MAY DUNS we found company name "" ROYAL SEAL CONSTRUCTION, INC. "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location / Single Location, ROYAL SEAL INVESTMENTS INC," 124 MCMAKIN RD,  BARTONVILLE, TX",8174916400,"942692310, 102572419",-
,5053311,60573185,AIRPORT TERMINAL SVC,AIRPORT TERMINAL SVC,,500 NORTHWEST PLZ,,SAINT ANN,MO,A,Accepted original DUNS based on input data given,5053311,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,http://www.atsstl.com/contact.asp,June,Single Location,"AIRPORT TERMINAL SERVICES, INC.","500 Northwest Plz #1150 Saint Ann, MO",3147391900,-,60573185
,122542116,70052308,ECI INC,ECI INC,,PO BOX 86030,,BATON ROUGE,LA,A,Accepted original DUNS based on input data given,122542116,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Branch,"ENGINEERS AND CONSTRUCTORS INTERNATIONAL, INC.","2638 S SHERWOOD FOREST BLVD, BATON ROUGE, LA",2252937768,-,-
,788557015,134630883,SLEEP INNOVATIONS,INNOCOR INC,,"187 ROUTE 36, # 101",,WEST LONG BRANCH,,D,After research on the web found possible DUNS,"788557015, 134630883","On hoovers for JUNE DUNS we found company name ""   INNOCOR, INC "" and address matches partially/completely and for MAY DUNS we found company name "" INNOCOR EAST, LLC "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Headquarters / Headquarters," INNOCOR, INC","187 RTE 36 STE 101, WEST LONG BRANCH",7322630800,"788557015, 134630883","788557015, 134630883"
,71479884,135229982,ROCKLAND FUNDING LLC,ROCKLAND FUNDING LLC,,7121FAIRWAY DR410,,PALM BCH GDNS,,A,Accepted original DUNS based on input data given,71479884,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location, ROCKLAND FUNDING LLC,"7121 FAIRWAY DR STE 410,  PALM BEACH GARDENS",5615986700,-,-
,25173579,3333865,THE MARKETING STORE,THE MARKETING STORE,,55 W MONROE ST,,CHICAGO,IL,D,After research on the web found possible DUNS,"025173579, 003333865","On hoovers for JUNE DUNS we found company name ""  Market Store Worldwide "" and address matches partially/completely and for MAY DUNS we found company name "" MARKET STORE WORLDWIDE "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location / Single Location,Market Store Worldwide,"  55 W MONROE ST STE 3355,  CHICAGO, IL",3126144600,"025173579, 003333865",-
,619778173,7676554,MARTINGOTTLIEB&ASSOC,MARTINGOTTLIEBASSOC,,4932 SUNBEAM RD,,JACKSONVILLE,FL,B,After research on the web accept original DUNS,7676554,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Single Location,"Gottlieb, Martin & Associates, LLC","4932 Sunbeam Rd Ste 100 Jacksonville, FL 32257-6128, United States",904-346-3088 ,-,-
,845492701,190022876,NAYLOR LLC,RLJNAYLOR HOLDINGS,,5950 NW 1ST PL,,GAINESVILLE,FL,A,Accepted original DUNS based on input data given,845492701,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"NAYLOR, LLC","5950 Nw 1st Pl Gainesville, FL 32607-6060, United States",800-369-6220 ,-,845492701
,68756695,153924480,UNLIMITED PCS INC,UNLIMITED PCS INC,,6140 NORTHBELT PKWY,,NORCROSS,GA,D,After research on the web found possible DUNS,"68756695, 153924480","On hoovers for JUNE DUNS we found company name ""  Unlimited Pcs Georgia LLC "" and address matches partially/completely and for MAY DUNS we found company name "" UNLIMITED PCS "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Single Location / Single Location,Unlimited Pcs Georgia LLC,"5145 Jimmy Carter Blvd A2
Norcross, GA",770-807-8260,"68756695, 153924480",-
,8234006,195164934,AMCOM SOFTWARE INC,AMCOM SOFTWARE INC,,6850 VERSAR CTR,,SPRINGFIELD,VA,A,Accepted original DUNS based on input data given,8234006,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,AMCOM SOFTWARE INC,"6850 Versar Ctr Springfield, VA 22151-4175, United States",800-611-8488 ,-,-
,78807404,874608607,RASSINI INTERNATIONAL,RASSINI INTERNATIONAL,,14500 N BECK RD,,PLYMOUTH,MI,B,After research on the web accept original DUNS,874608607,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Headquarters,Rassini Sanluis International Inc,"14500 N Beck Rd Plymouth, MI 48170-3383, United States",734-454-4904 ,-,874608607
,14769301,76897250,MYCONE DENTAL SUPPLY,MYCONE DENTAL SUPPLY,,480 S DEMOCRAT RD,,GIBBSTOWN,NJ,A,Accepted original DUNS based on input data given,14769301,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,"MYCONE DENTAL SUPPLY CO., INC.","480 S Democrat Rd Gibbstown, NJ 08027-1239, United States",856-663-4700 ,-,14769301
,829219620,101966133,FLAMINGO RD BAPTIST,POTENTIAL CHURCH INC,,12401 STIRLING RD,,COOPER CITY,FL,D,After research on the web found possible DUNS,"829219620, 101966133","On hoovers for JUNE DUNS we found company name ""   POTENTIAL CHURCH, INC. "" and address matches partially/completely and for MAY DUNS we found company name "" FLAMINGO ROAD CHRISTIAN ACADEMY "" and address matches partially/completely. So both JUNE and MAY DUNS are considered.",,June/May,Headquarters / Single Location," POTENTIAL CHURCH, INC.","12401 Stirling Rd Cooper City, FL 33330-3211, United States",954-434-1500,"829219620, 101966133",829219620
,71942981,20858809,ALABAMA CTY PRICHARD,ALABAMA CTY PRICHARD,,216 E PRICHARD AVE,,PRICHARD,AL,A,Accepted original DUNS based on input data given,71942981,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Headquarters,Alabama City of Prichard,"216 E Prichard Ave Prichard, AL 36610-3931, United States",251-452-7800 ,-,71942981
,66904128,157094629,FRMB INC,FRMB INC,,7055 N PALM AVE,,FRESNO,CA,A,Accepted original DUNS based on input data given,66904128,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location,"Frmb, Inc.","7055 N Palm Ave Fresno, CA 93650-1088, United States",-,-,-
,9518730,8057903,PEL STATE BULK PLANT,PELSTATE BULK PLANT,,333 TEXAS ST STE 2121,,SHREVEPORT,LA,A,Accepted original DUNS based on input data given,9518730,We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name where partially/complete address matches.,,June,Single Location," PEL-STATE BULK PLANT, LLC","333 Texas St Ste 2121 Shreveport, LA 71101-3676, United States",318-227-3144 ,-,-
,80559698,627926553,AIRCRAFT SERVICES GROUP,AIRCRAFT SERVICE GROUP,,112 CHARLES A LINDBERGH DR,,TETERBORO,NJ,B,After research on the web accept original DUNS,627926553,We could find different company name with JUNE DUNS where address matches partially. For MAY DUNS we could find input company name and address matches.,,May,Headquarters,"AIRCRAFT SERVICES GROUP, INC.","112 Charles A Lindbergh Dr Teterboro, NJ 07608-1010, United States",973-864-6200 ,-,627926553
,70596655,75520601,TOWERS WATSON,TOWERS WATSON DE,,1500 MARKET ST,,PHILADELPHIA,PA,D,After research on the web found possible DUNS,70596655/075520601,"On hoovers for JUNE DUNS we found company name "" Towers Watson & Co."" and address matches completely   and for MAY DUNS we found company name ""Towers Watson Pennsylvania Inc. "" and address matches completely   So both JUNE and MAY DUNS are considered.",,June/May,Branch/ Branch,Towers Watson & Co.,"1500 Market St
Philadelphia, PA 19102-2103, 
United States",215-246-6000 ,70596655/075520601,833153732
,105162098,801485041,SIEMENS CORP,SIEMENS GOVERNMENT,,1881 CAMPUS COMMONS DR,,RESTON,VA,D,After research on the web found possible DUNS,105162098 / 801485041,"On hoovers for JUNE DUNS we found company name ""  SIEMENS CORP "" where name matches partially and address matches completely and for MAY DUNS we found company name  "" No Company Name "" where name matches partially and address matches completely. So both JUNE and MAY DUNS are considered.",http://www.siemensgovt.com/contact.html,June/May,Headquarters / Single Location,SIEMENS CORP,"2231 Crystal Drive
Suite #700
Arlington, VA",-,105162098 / 801485041,
,52932848,5524285,CORRUGATED SUPPLIES,CORRUGATED SUPPLIES,,5043 W 67TH ST,,CHICAGO,IL,D,After research on the web found possible DUNS,52932848/005524285,"On hoovers for JUNE DUNS we found company name ""Corrugated Supplies Corp. "" and address matches completely and for MAY DUNS we found company name ""Corrugated Supplies Company, LLC "" and address matches completely. So both JUNE and MAY DUNS are considered.",http://www.csclive.com,June/May,Single Location / Headquarters,"Corrugated Supplies Company, LLC","5043 W 67th St
Bedford Park, IL 60638-6409, 
United States",708-458-5525 ,52932848/005524285,
,102046752,26732916,USABLE LIFE,USABLE LIFE,,PO BOX 1650,,LITTLE ROCK,AR,A,Accepted original DUNS based on input data given,102046752,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name and address.

",,June,Headquarters,Usable Life," 17500 Chenal Pkwy
Little Rock, AR 72223-9041,
United States ",501-375-7200 ,,102046752
,805760035,831812792,REP GOVERNORS ASSOC,REP GOVERNORS ASSOC,,1747 PENN AV NW 250,,WASHINGTON,,A,Accepted original DUNS based on input data given,805760035,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find anything.

",,June,Single Location,Republican Governors Association," 1747 Pennsylvania Ave Nw Ste 250
Washington, DC 20006-4643,
United States ",202-662-4140 ,,
,607012143,115431210,SOVEREIGN DISTRIBTRS,SOVEREIGN DISTRIBTRS,,2030 SPRINGDALE RD,,CHERRY HILL,NJ,A,Accepted original DUNS based on input data given,607012143,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find anything.

",,June,Headquarters,"SOVEREIGN DISTRIBUTORS, INC."," 2030 Springdale Rd
Cherry Hill, NJ 08003-2052,
United States ",856-489-4996 ,,
,8379810,159705123,EVY OF CALIFORNIA,EVY OF CALIFORNIA,,810ASOUTH S FLOWER ST,,LOS ANGELES,CA,A,Accepted original DUNS based on input data given,8379810,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name where partially address matches.

",,June,Headquarters,"EVY OF CALIFORNIA, INC."," 810 S Flower St Ste A
Los Angeles, CA 90017-4627,
United States ",213-763-6100 ,,
,130864580,788163686,THE QUIZNOS CORP,QCE LLC,,7595 TECHNOLOGY WAY,,DENVER,CO,A,Accepted original DUNS based on input data given,130864580,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name where partially address matches.

",,June,Headquarters,THE QUIZNO'S CORPORATION," 7595 E Technology Way Ste 200
Denver, CO 80237,
United States ",720-359-3300 ,,130864580
,137224072,22398351,YODER FORD INC,YODER FORD INC,,3010 W STATE HIGHWAY 107,,EDINBURG,TX,A,Accepted original DUNS based on input data given,137224072,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name where partially address matches.

",,June,Single Location,YODER FORD INC," 3010 W University Dr
Edinburg, TX 78539,
United States ",956-383-1615 ,,
,37921111,85642838,TRUENORTH COMPANIES,TRUENORTH CO,,500 1ST ST SE,,CEDAR RAPIDS,IA,A,Accepted original DUNS based on input data given,37921111,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name and address.

",,June,Headquarters,"Truenorth Companies, Lc"," 500 1st St Se
Cedar Rapids, IA 52401-2002,
United States ",319-364-5193 ,,
,135503360,18525770,AMERICAN CLOTHING,AMERICAN CLOTHING,,3190 NEW BRUNSWICK RD,,BARTLETT,TN,A,Accepted original DUNS based on input data given,135503360,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find same company name with different address.

",,June,Single Location,"AMERICAN CLOTHING EXPRESS, INC."," 3190 New Brunswick Rd
Bartlett, TN 38133-4193,
United States ",901-385-1400 ,,
,800498354,20219231,FACILITY ENGINEERING,FACILITY ENGINEERING,,12701 FAIR LAKES CIR STE 101,,FAIRFAX,VA,A,Accepted original DUNS based on input data given,800498354,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name and address.

",,June,Headquarters,"FACILITY ENGINEERING ASSOCIATES, P.C."," 12701 Fair Lakes Cir #101
Fairfax, VA 22033-4910,
United States ",703-591-4855 ,,800498354
,101240984,117377382,AC TECHNOLOGY CORP,LENZE AC TECHNOLOGY CORP,,630 DOUGLAS ST,,UXBRIDGE,MA,A,Accepted original DUNS based on input data given,101240984,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find anything.

",,June,Headquarters,LENZE AC TECH CORPORATION," 630 Douglas St
Uxbridge, MA 01569-2001,
United States ",508-278-9100,,101240984
,111239476,78780966,QUINTAIROS PRIETO,QUINTAIROS PRIETO,,9300 S DADELAND BLVD,,MIAMI,FL,A,Accepted original DUNS based on input data given,111239476,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could find different company name and address.

",,June,Headquarters,"Quintairos, Prieto, Wood & Boyer PA"," 9300 S Dadeland Blvd
Miami, FL 33156-2767,
United States ",954-523-7008,,
,57834129,967600540,AUTOHAUS AUTOMOTIVE,AUTOHAUS AUTOMOTIVE,,1600 FRONTAGE RD,,NORTHBROOK,,A,Accepted original DUNS based on input data given,57834129,"We could find JUNE DUNS on hoovers with input company name and address. For MAY DUNS we could not find anything.

",,June,Headquarters,"AUTOHAUS AUTOMOTIVE, INC.","1600 Skokie Blvd
Northbrook, IL 60062-4129,
United State",847-272-0808 ,,
